sample_id,ade_m
1508,0.332791
1509,0.367505
1510,0.356227
1511,0.273316
1512,0.293641
1513,0.284268
1514,0.379554
1515,0.352100
1516,0.368507
1517,0.427483
1518,0.347774
1519,0.390894
1520,0.415880
1521,0.386114
1522,0.239812
1523,0.218316
1524,0.216430
1525,0.205407
1526,0.203519
1527,0.213616
1528,0.203211
1529,0.215025
1530,0.218962
1531,0.230968
1532,0.238135
1533,0.255030
1534,0.265683
1535,0.282645
1536,0.293966
1537,0.315090
1538,0.324813
1539,0.344422
1540,0.354289
1541,0.372759
1542,0.384128
1543,0.400740
1544,0.276678
1545,0.201637
1546,0.287854
1547,0.212923
1548,0.312397
1549,0.225435
1550,0.342043
1551,0.244104
1552,0.362966
1553,0.277905
1554,0.417897
1555,0.377280
1556,0.403872
1557,0.477877
1558,0.186251
1559,0.427091
1560,0.272129
1561,0.213055
1562,0.320060
1563,0.359424
1564,0.360538
1565,0.358978
1566,0.317018
1567,0.316300
1568,0.334611
1569,0.340945
1570,0.448368
1571,0.376696
1572,0.307987
1573,0.323761
1574,0.366062
1575,0.442866
1576,0.461924
1577,0.525782
1578,0.596269
1579,0.669613
1580,0.752454
1581,0.853344
1582,0.218183
1583,0.214827
1584,0.240548
1585,0.240750
1586,0.268272
1587,0.272104
1588,0.299500
1589,0.305791
1590,0.318967
1591,0.308279
1592,0.326063
1593,0.315297
1594,0.335784
1595,0.329334
1596,0.338668
1597,0.347392
1598,0.288926
1599,0.305304
1600,0.329265
1601,0.346272
1602,0.379241
1603,0.395807
1604,0.346938
1605,0.326301
1606,0.318906
1607,0.326666
1608,0.319074
1609,0.328058
1610,0.322054
1611,0.333638
1612,0.331467
1613,0.340574
1614,0.342605
1615,0.350792
1616,0.692534
1617,0.722800
1618,0.540199
1619,0.567129
1620,0.583509
1621,0.605318
1622,0.208021
1623,0.223056
1624,0.209865
1625,0.227037
1626,0.219766
1627,0.239846
1628,0.242323
1629,0.261827
1630,0.263522
1631,0.300467
1632,0.340482
1633,0.393987
1634,0.442018
1635,0.500639
1636,0.569514
1637,0.640555
1638,0.379773
1639,0.300091
1640,0.303213
1641,0.292436
1642,0.293337
1643,0.288035
1644,0.276891
1645,0.276256
1646,0.269258
1647,0.269368
1648,0.266843
1649,0.271045
1650,0.275103
1651,0.281213
1652,0.286314
1653,0.286495
1654,0.292505
1655,0.290432
1656,0.221376
1657,0.240491
1658,0.229861
1659,0.239161
1660,0.225455
1661,0.235527
1662,0.240073
1663,0.256326
1664,0.275234
1665,0.298747
1666,0.304916
1667,0.333457
1668,0.345247
1669,0.379129
1670,0.399070
1671,0.439694
1672,0.466992
1673,0.503229
1674,0.521947
1675,0.681294
1676,0.572887
1677,0.367851
1678,0.351969
1679,0.253042
1680,0.231644
1681,0.243218
1682,0.292114
1683,0.311247
1684,0.377600
1685,0.404677
1686,0.488873
1687,0.526153
1688,0.623993
1689,0.659796
1690,0.744361
1691,0.773131
1692,0.829664
1693,1.289062
1694,1.285644
1695,0.278488
1696,0.273462
1697,0.292118
1698,0.295208
1699,0.328667
1700,0.365360
1701,0.363345
1702,0.284940
1703,0.286214
1704,0.286587
1705,0.283332
1706,0.281116
1707,0.275669
1708,0.267286
1709,0.267278
1710,0.260957
1711,0.262839
1712,0.261160
1713,0.263156
