sample_id,ade_m
693,30.879364
694,30.958004
695,33.881165
696,34.177353
697,37.200054
698,34.805805
699,36.446735
700,36.655117
701,35.793224
702,34.713013
703,33.761810
704,33.051586
705,32.619469
706,32.459297
707,32.520859
708,32.696583
709,32.934216
710,33.136169
711,33.309700
712,33.417500
713,33.488308
714,33.516891
715,33.523235
716,33.513443
717,33.494637
718,33.470711
719,33.449718
720,33.430218
721,33.413887
722,33.400879
723,33.390442
724,33.384140
725,33.379517
726,33.376442
727,33.375057
728,33.374062
729,33.372391
730,33.372791
731,33.371719
732,33.370491
733,33.370350
734,33.363941
735,33.360905
736,33.347149
737,33.347149
738,33.347149
739,33.347149
740,33.347149
741,33.347149
742,33.347149
743,33.347149
744,33.347149
745,33.347149
746,33.347149
747,33.347149
748,33.347149
749,33.347149
750,33.347149
751,33.347149
752,33.347149
753,33.347149
754,33.347149
755,33.347149
756,33.347149
757,33.347149
758,33.347149
759,33.347149
760,33.347149
761,33.347149
762,33.347149
763,33.347149
764,33.347149
765,33.347149
766,33.347149
767,33.347149
768,33.347149
769,33.347149
770,33.347149
771,33.347149
772,33.347149
773,33.347149
774,33.347149
775,33.347149
776,33.347149
777,33.347149
778,33.347149
779,33.347149
780,33.347149
781,33.347149
782,33.347149
783,33.347149
784,33.347149
785,33.347149
786,33.347149
787,33.347149
788,33.347149
789,33.347149
790,33.347149
791,33.347149
792,33.347149
793,33.347149
794,33.347149
795,33.347149
796,33.347149
797,33.347149
798,33.347149
799,33.347149
800,33.347149
801,16.201832
802,16.749428
803,16.713432
804,17.223686
805,17.210316
806,17.683460
807,17.694708
808,18.122086
809,18.171225
810,18.562586
811,18.637287
812,18.971266
813,19.060234
814,19.331173
815,19.435148
816,19.656713
817,19.771448
818,19.947832
819,20.063946
820,20.159010
821,20.261868
822,20.285963
823,20.371130
824,20.340248
825,20.402855
826,20.342892
827,20.392513
828,20.310040
829,20.327044
830,20.204769
